2015-04-15 14:00:16,011 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10700 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10700 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:16,011 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:16,038 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10701 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10701 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:16,038 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:16,059 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10702 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10702 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:16,059 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:16,059 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10703 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10703 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:16,060 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:16,075 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10704 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10704 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:16,076 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
